Bestandsnaam;Bestandsmappen;Bron_Onderwerp;Bron_Afzender;Bron_Ontvangstdatum;Bron_Emailadres;Map1;Map2;Map3;Map4;Situatie;Onderwerp;Relatietypering;Relatie;Kringlidtypering;Documenttypering
Brief machtiging aotmatische incasso   10-03-20200707.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Brief
Definitieve aanslag zorgbijdrage   2015-20708.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Definitieveaanslag20140710.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
definitieve\_aanslag\_Zorgverzekeringswet\_2018\_26-09-2019\_00.00u0711.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Factuur Tele2 22-02-2017 tm   21-03-20172451.pdf;N\:leverancier\internet\TELE2;;;;;leverancier;internet;TELE2;;Bezigheid;abonnement;;TELE2;;Factuur
Factuur Tele2 22-03-2017 tm   31-03-20172452.pdf;N\:leverancier\internet\TELE2;;;;;leverancier;internet;TELE2;;Bezigheid;abonnement;;TELE2;;Factuur
NOTITIE Gesprekverslag Ch Ezenfam SNS   12-05-20200312.docx;N\:bank\SNS\hypotheeknemer E66;;;;;bank;SNS;hypotheeknemer E66;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer E66;;Verslag
SNS Rentewijziginghypotheeknummer   85.54.04.604 010328.pdf;N\:bank\SNS\hypotheeknemer E66;;;;;bank;SNS;hypotheeknemer E66;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer E66;;
SNS   Rentewijziginghypotheeknummer85.54.04.6041010329.pdf;N\:bank\SNS\hypotheeknemer E66;;;;;bank;SNS;hypotheeknemer E66;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer E66;;
jaaroverzicht hypotheek LvM94 14   20120330.pdf;N\:bank\SNS\hypotheeknemer LvM94;;;;;bank;SNS;hypotheeknemer LvM94;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer LvM94;;Jaaroverzicht
SNS Brief januari 2018 hypotheek   Jaaroverzicht 20170331.pdf;N\:bank\SNS\hypotheeknemer LvM94;;;;;bank;SNS;hypotheeknemer LvM94;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer LvM94;;Jaaroverzicht
SNS hyp LvM94 260820150332.pdf;N\:bank\SNS\hypotheeknemer LvM94;;;;;bank;SNS;hypotheeknemer LvM94;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer LvM94;;
SNS Hypotheekwijz LvM940333.pdf;N\:bank\SNS\hypotheeknemer LvM94;;;;;bank;SNS;hypotheeknemer LvM94;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer LvM94;;
SNS Jaaroverzicht 2013 hypotheek   85\_54\_04\_604 E660334.pdf;N\:bank\SNS\hypotheeknemer LvM94;;;;;bank;SNS;hypotheeknemer LvM94;;"Geval; Bezigheid";hypotheek;Financiële instelling;hypotheeknemer LvM94;;Jaaroverzicht
Brief 011202022 Rentewijziging   hypotheek0351.pdf;N\:bank\SNS\Hypotheeknemer S68;;;;;bank;SNS;Hypotheeknemer S68;;"Geval; Bezigheid";hypotheek;Financiële instelling;Hypotheeknemer S68;;Brief
Brief 131202022 Rentewijziging hypotheek   883\_85\_86\_012 0010352.pdf;N\:bank\SNS\Hypotheeknemer S68;;;;;bank;SNS;Hypotheeknemer S68;;"Geval; Bezigheid";hypotheek;Financiële instelling;Hypotheeknemer S68;;Brief
Brief 1e afschrijving van   hypotheekv180320220353.pdf;N\:bank\SNS\Hypotheeknemer S68;;;;;bank;SNS;Hypotheeknemer S68;;"Geval; Bezigheid";hypotheek;Financiële instelling;Hypotheeknemer S68;;Brief
Brief hypotheek S68 080320220354.pdf;N\:bank\SNS\Hypotheeknemer S68;;;;;bank;SNS;Hypotheeknemer S68;;"Geval; Bezigheid";hypotheek;Financiële instelling;Hypotheeknemer S68;;Brief
Brief rentewijziging 010620220355.pdf;N\:bank\SNS\Hypotheeknemer S68;;;;;bank;SNS;Hypotheeknemer S68;;"Geval; Bezigheid";hypotheek;Financiële instelling;Hypotheeknemer S68;;Brief
SNS afschrift 6 overbruggingskrediet   020620220356.pdf;N\:bank\SNS\Hypotheeknemer S68;;;;;bank;SNS;Hypotheeknemer S68;;"Geval; Bezigheid";hypotheek;Financiële instelling;Hypotheeknemer S68;;Bankafschrift
SNS afschrift 7 overbruggingskrediet   030620220357.pdf;N\:bank\SNS\Hypotheeknemer S68;;;;;bank;SNS;Hypotheeknemer S68;;"Geval; Bezigheid";hypotheek;Financiële instelling;Hypotheeknemer S68;;Bankafschrift
SNS Bank Specificatie uitkering januari   20140380.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;
SNS Brief aanvragen lijfrente0381.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;Brief
SNS brief Informatie over uw SNS   Lijfrente Sparen in 2013 Riet0382.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;Brief
SNS Informatie over SNS Lijfrentesparen   in 2014 Riet0383.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;
SNS jaaropgave 2017 Riet0384.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;Jaaropgave
SNS Jaaropgave 2017 Theo0385.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;Jaaropgave
SNS Jaaropgave 2018 lijfrentenieren   Riet0386.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;Jaaropgave
SNS Jaaropgave ontvangen lijfrente2014   Theo0387.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;Jaaropgave
SNS Jaaropgave Theo 20120388.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;Jaaropgave
SNS kapitaalsoverdracht0389.pdf;N\:bank\SNS\lijfrentenieren;;;;;bank;SNS;lijfrentenieren;;"Geval; Bezigheid";sparen;Financiële instelling;lijfrentenieren;;
BD wijziging reknr Theo0417.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;
Brief 17012022 teruggave   omzetbelasting0418.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Brief
Brief betaalinformatie 100120240419.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Brief
Brief deelname regeling zonnepaneelhouder   090320220420.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Brief
Brief machriging automatische incasso   200220240421.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Brief
Brief machtiging automtische incasso   040220220422.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Brief
Brief Machtiging incasso riet   250320220423.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Brief
Brief opgaaf  rekeningnummer 250120220424.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Factuur
Machtigingscode v010420210425.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Machtiging
Mededeling 0426.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;
Verzoek\_wijzigen\_rekeningnummer\_16-12-2015\_15.06u0427.pdf;N\:belasting;;;;;belasting;;;;Bezigheid;belasting;;;;Factuur
BD Navorderingstoeslag 20100428.pdf;N\:belasting\inkomsten\2010;;;;;belasting;inkomsten;2010;;Bezigheid;belasting;;;;
Aangifte inkomstenbelasting Theo   20120431.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
Aangifte\_inkomstenbelasting\_2012\_28-04-2014\_10u10m0432.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
Aanslag 14827016 woz per01 01 2013   E660433.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aanslagbiljet
ABP jaaropgave 2012 Theo0434.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
Bevestiging aangifte inkomstenbelasting   2012 Theo0435.docx;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
ebm Balans  20120436.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
ebm Resultatenrekening 20120437.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
leesmij0438.txt;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
scan0530 REAAL jaaropgave 2012   Theo0439.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
scan0534 Allianz Fiscaal jaaroverzicht   2012 Theo0440.pdf;N\:belasting\inkomsten\2012\aangifte;;;;;belasting;inkomsten;2012;aangifte;Bezigheid;aangifte;;;;Aangifte
BD Uitsel ink bel 20130449.pdf;N\:belasting\inkomsten\2013;;;;;belasting;inkomsten;2013;;Bezigheid;belasting;;;;
Bd Voorlopige aanslag inkomsten belasting   Theo 20130450.pdf;N\:belasting\inkomsten\2013;;;;;belasting;inkomsten;2013;;Bezigheid;belasting;;;;Aanslagbiljet
Aangifte inkomstenbelasting Riet   20130451.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Aangifte inkomstenbelasting Theo 2013 per   28apr20150452.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Aangifte inkomstenbelasting Theo   20130453.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Aanslag 14827016 woz per 01 01 2013   E660454.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aanslagbiljet
ABP jaaropgave Theo 20130455.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Allianz rekening Fiscaal jaaroverzicht   20130456.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
BD brief Aangifte doen inkomstenbelasting   20130457.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Belastingaangifte 2013 Riet per   28apr20150458.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Brief REAAL Compensatiebedrag van uw   levensverzekering en de belasting 11 feb 20140459.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Brief SNS bank Aanpassing lening 94 10 01   539 dd 18 03 20140460.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Brief SNS Omzetten hypothecaire   geldlening 94 10 01 539 LvM9414 11 03 20140461.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Ontvangstbevestiging\_Aangifte\_inkomstenbelasting\_2013\_28-04-2015\_12.23u   riet0462.pdf;N\:belasting\inkomsten\2013\aangifte;;;;;belasting;inkomsten;2013;aangifte;Bezigheid;aangifte;;;;Aangifte
Bd Aangiftebrief 2014   Riet280220160467.pdf;N\:belasting\inkomsten\2014;;;;;belasting;inkomsten;2014;;Bezigheid;aangifte;;;;Aangifte
Bd Aangiftebrief 2014 Theo   280220160468.pdf;N\:belasting\inkomsten\2014;;;;;belasting;inkomsten;2014;;Bezigheid;aangifte;;;;Aangifte
BD herinnering aangifte 2014 Riet0469.pdf;N\:belasting\inkomsten\2014;;;;;belasting;inkomsten;2014;;Bezigheid;aangifte;;;;Aangifte
BD Ink 2014 10082016 theo0470.pdf;N\:belasting\inkomsten\2014;;;;;belasting;inkomsten;2014;;Bezigheid;belasting;;;;
BD ink 2014 12082016 Riet0471.pdf;N\:belasting\inkomsten\2014;;;;;belasting;inkomsten;2014;;Bezigheid;belasting;;;;
BD INK Aanslag 2014 Riet   29sep20160472.pdf;N\:belasting\inkomsten\2014;;;;;belasting;inkomsten;2014;;Bezigheid;belasting;;;;Aanslagbiljet
BD voorlopig aanslag ink 2014   Theo0473.pdf;N\:belasting\inkomsten\2014;;;;;belasting;inkomsten;2014;;Bezigheid;belasting;;;;Aanslagbiljet
aangifte inkomstenbleasting 2014 Theo en   Riet0474.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
ABP jaaropgave 20140475.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Balans    20140476.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
BD Uitnodigingsbrief aangifte IH   20140477.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
BD Voorschotbeschikking toeslagen   20140478.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Belastingtransacties 2014 detail0479.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Belastingtransacties 20140480.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
BK Fiscaal overzicht Bijenkorfkaart   20140481.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
GBT Aanslag 14827016 woz per 01 01 2014   E660482.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aanslagbiljet
ING - Jaaroverzicht 2014 - DE HEER T A P   M GEURTS EN MEVROUW M C J GEURTS-STRUYS0483.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
mk\@MSITStoreCProgram%20Files%20(x86)BelastingdienstAangif0484.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Ontvangstbevestiging\_Aangifte\_inkomstenbelasting\_2014\_02-06-2016\_17.16u   riet0485.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Printing Belastingdienst document   riet0486.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Printing Belastingdienst   document20487.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Resultatenrekening 20140488.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
SNS Jaaroverzicht Lijfrentesparen   Banksparen0490.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
SNS Jaaroverzicht PlusSparen20140491.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
SVB Jaaropgave AOW 20140492.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
Voorlopigeaanslag2014 Ink bel   Theo0493.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aanslagbiljet
Voorlopigeaanslag2014 ZvW Theo0494.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aanslagbiljet
VvE Jaarrekening 2013 Definitief0495.pdf;N\:belasting\inkomsten\2014\aangifte;;;;;belasting;inkomsten;2014;aangifte;Bezigheid;aangifte;;;;Aangifte
BD Aanslag 2015 inkomsten Riet0496.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;belasting;;;;Aanslagbiljet
BD Aanslag 2015 inkomsten Theo 0497.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;belasting;;;;Aanslagbiljet
BD   Aanvraag\_uitstel\_aangifte\_inkomstenbelasting\_2015\_19-04-2016\_10.59u0498.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;aangifte;;;;Aangifte
BD Betalingsherinnering 13dec20160499.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;belasting;;;;
BD Brief verkeerde vervaldatum op   betalingsherrinnering 20 dec 291220160500.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;belasting;;;;Brief
BD herinniering aangifte 2015   Riet0501.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;aangifte;;;;Aangifte
BD INK 2015 26082016 Riet0502.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;belasting;;;;
BD INK Uitstel aangifte 20150503.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;aangifte;;;;Aangifte
BD uitstel aangifte 20150504.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;aangifte;;;;Aangifte
Definitieveaanslag20150505.pdf;N\:belasting\inkomsten\2015;;;;;belasting;inkomsten;2015;;Bezigheid;belasting;;;;Aanslagbiljet
Aangifte\_IB\_2015\_20160627\_1657   riet0506.pdf;N\:belasting\inkomsten\2015\aangifte;;;;;belasting;inkomsten;2015;aangifte;Bezigheid;aangifte;;;;Aangifte
Aangifte\_IB\_2015\_20160914\_1454   theo0507.pdf;N\:belasting\inkomsten\2015\aangifte;;;;;belasting;inkomsten;2015;aangifte;Bezigheid;aangifte;;;;Aangifte
Aangifte\_IB\_2015\_20160914\_1457   theo0508.pdf;N\:belasting\inkomsten\2015\aangifte;;;;;belasting;inkomsten;2015;aangifte;Bezigheid;aangifte;;;;Aangifte
Aanslag Waterschapslasten E66   20150509.pdf;N\:belasting\inkomsten\2015\aangifte;;;;;belasting;inkomsten;2015;aangifte;Bezigheid;aangifte;;;;Aanslagbiljet
ABP Jaaropgave 2015 Theo0510.pdf;N\:belasting\inkomsten\2015\aangifte;;;;;belasting;inkomsten;2015;aangifte;Bezigheid;aangifte;;;;Aangifte
ingevuld Th Geurts   2017-05-Formulier-snoeihout-minder-dan-5m31694.pdf;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;
K Rain ProSeries 100 Instructions (1)   (1)1695.pdf;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;
K RainProseries 100 Product   Brochure1696.pdf;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;Brochure
LEO normaalzuigende hydrofoor1697.docx;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;
LEO pomp tuin 7956151698.pdf;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;
Leo pomp1699.pdf;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;
Offerte Wildkamp 30-6-20201700.pdf;N\:huis\E66\tuin\beregening;;;;;huis;E66;tuin;beregening;Bezigheid;E66;;;;Offerte
Machtiging tot incasso   2016-9-18\_222220712.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Machtiging
Mededeling Bijdrage zorgverzekringswet   2016-9-18\_22222 riet0713.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
Mededeling Bijdrage zorgverzekringswet   2018 2018-10-4 riet0714.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
Mededeling Bijdrage zorgverzekringswet   Riet 2018 2018-09-20 riet0715.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
Overzicht zorgbijdrage 2019 riet0716.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;
Voorlopige aanslag zorgbijdrage 2019 dd   23062020 riet0717.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Voorlopige aanslag zorgbijdrage 2019 riet   dd 160520200718.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Voorlopige aanslag zorgbijdrage 2020 riet   dd 310120200719.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Voorlopige aanslag zorgbijdrage 2021 dd   25062021 riet0720.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Voorlopigeaanslag2017 (1) theo0721.pdf;N\:belasting\zorg\bijdrage;;;;;belasting;zorg;bijdrage;;Bezigheid;ziektekosten;;;;Aanslagbiljet
Aanmaning zorgtoeslag 2018-08-280722.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Aanmaning
BD    Zorg mededeling zorgtoeslag 201312022016 Theo0723.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD bereking zorgtoeslag 20160724.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD beschik zorg0725.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD beschiking zorg0726.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Beschikking zorgtoeslag 20140727.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Betalingsherinnering 21-3-20170728.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Betalingsherrinn Zoer 20150729.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Bevestiging betalingsregeling 2015   150120170730.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Betalingsregeling
BD bevestiging betalingsregeling   zorgtoeslag0731.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Betalingsregeling
BD Def berekening toeslag 20140732.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Factuur
BD Definitieve berekening toeslagen   20120733.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Factuur
BD Definitieve berekening zorgtoeslag   2013 Theo nr 20734.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Factuur
BD Definitieve berekening zorgtoeslag   2013 Theo0735.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Factuur
BD Definitieve berekening zorgtoeslag   2015 Theo0736.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;Factuur
BD landelijk incassocentrum   betalingsherinnering 22-8-20170737.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Mededeling 8-11-2018 jaar 20150738.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Mededeling Zorgtoeslag 13-102016 Theo   720739.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Mededeling Zorgtoeslag 13-102016   Theon0740.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD Mededeling Zorgtoeslag 2013 12-11-2016   Theo0741.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD mededeling zorgtoeslag 2013 13-05-2017   Theo0742.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD mededeling zorgtoeslag 2013   13-13-4-2017 Theo0743.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD mededeling zorgtoeslag 2013 14-12-2016   Theo0744.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD mededeling zorgtoeslag 2013 14-2-2017   Theo0745.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD mededeling zorgtoeslag 2013 14-3-2017   Theo0746.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
BD mededeling zorgtoeslag 2013 15-6-2017   Theo0747.pdf;N\:belasting\zorg\toeslag;;;;;belasting;zorg;toeslag;;Bezigheid;ziektekosten;;;;
